,selling_proposition_frequency,price_frequency,discount_frequency,goods-title-link_frequency,selling_proposition_frequency_x_price_frequency,selling_proposition_frequency_div_price_frequency,selling_proposition_frequency_x_discount_frequency,selling_proposition_frequency_div_discount_frequency,selling_proposition_frequency_x_goods-title-link_frequency,selling_proposition_frequency_div_goods-title-link_frequency,price_frequency_x_discount_frequency,price_frequency_div_discount_frequency,price_frequency_x_goods-title-link_frequency,price_frequency_div_goods-title-link_frequency,discount_frequency_x_goods-title-link_frequency,discount_frequency_div_goods-title-link_frequency
selling_proposition_frequency,1.0,-0.10288824767380633,0.13822902210094584,-0.008190264072988002,0.6301626712824684,0.5042033894601787,0.6623671799954284,0.2526865478201101,0.8825664800525694,0.9753837720819158,0.03403468857984478,-0.014074093419781148,-0.09697400812950448,-0.10194795929421654,0.11682277377207169,0.1356381746060414
price_frequency,-0.10288824767380633,1.0,0.10978148943626297,-0.012748407799263213,0.4681423419258255,-0.43548277571825894,-0.0005643916328145254,-0.17139662735757372,-0.10369099367798276,-0.10257811328300678,0.6158484942779794,0.12506520114776654,0.8322389944344126,0.9659458012370765,0.10183528476226303,0.10251826593433797
discount_frequency,0.13822902210094584,0.10978148943626297,1.0,-0.016554214397448978,0.1613068630648467,-0.12099705406426349,0.6308575382165478,-0.24806477492279455,0.11762444285555303,0.14213460043369955,0.6597895906439483,-0.25392089680981456,0.09656149592773286,0.10985093265300075,0.8580489098410461,0.9790956067008654
goods-title-link_frequency,-0.008190264072988002,-0.012748407799263213,-0.016554214397448978,1.0,-0.018772263717670545,0.012386345785891036,-0.013115495148968606,0.0028167458575840422,0.30192325838223577,-0.11053004323641874,7.19872814488553e-05,-0.0018589112293567937,0.4173606212791471,-0.1441455614082492,0.3315841879982615,-0.1263248956422507
selling_proposition_frequency_x_price_frequency,0.6301626712824684,0.4681423419258255,0.1613068630648467,-0.018772263717670545,1.0,-0.1224363793128347,0.4944751862217923,-0.002371494823596042,0.5451466015347105,0.6099619960166208,0.3971437768876844,0.07593244418513495,0.3795195574616678,0.4477819512410976,0.14083773912332856,0.15689097595661305
selling_proposition_frequency_div_price_frequency,0.5042033894601787,-0.43548277571825894,-0.12099705406426349,0.012386345785891036,-0.1224363793128347,1.0,0.13004359643471802,0.36260394643959987,0.4607581103920646,0.4911360362112095,-0.2672675971258119,-0.05761934513581589,-0.3636937421701897,-0.42227825167648664,-0.10750258869986494,-0.11744933239010852
selling_proposition_frequency_x_discount_frequency,0.6623671799954284,-0.0005643916328145254,0.6308575382165478,-0.013115495148968606,0.4944751862217923,0.13004359643471802,1.0,-0.13084147687706568,0.5819830254031259,0.6531481223334711,0.36092858483520623,-0.1495344295849467,-0.0027124774230813044,0.0029834231886152396,0.5385815866804623,0.618667597275595
selling_proposition_frequency_div_discount_frequency,0.2526865478201101,-0.17139662735757372,-0.24806477492279455,0.0028167458575840422,-0.002371494823596042,0.36260394643959987,-0.13084147687706568,1.0,0.22560743987445273,0.24649456858201102,-0.1809976243895644,0.44049223204890714,-0.14533684195115779,-0.16741533149577123,-0.2123653414526039,-0.24275648577861278
selling_proposition_frequency_x_goods-title-link_frequency,0.8825664800525694,-0.10369099367798276,0.11762444285555303,0.30192325838223577,0.5451466015347105,0.4607581103920646,0.5819830254031259,0.22560743987445273,1.0,0.7915135326179473,0.028090354718394796,-0.01723094754768713,0.010833950190132852,-0.13886207768482312,0.21873416522500763,0.07167544104252858
selling_proposition_frequency_div_goods-title-link_frequency,0.9753837720819158,-0.10257811328300678,0.14213460043369955,-0.11053004323641874,0.6099619960166208,0.4911360362112095,0.6531481223334711,0.24649456858201102,0.7915135326179473,1.0,0.036919913577783285,-0.016034678060540358,-0.1292796548241892,-0.07044236424673533,0.07383844257504608,0.1622359748814094
price_frequency_x_discount_frequency,0.03403468857984478,0.6158484942779794,0.6597895906439483,7.19872814488553e-05,0.3971437768876844,-0.2672675971258119,0.36092858483520623,-0.1809976243895644,0.028090354718394796,0.036919913577783285,1.0,-0.16358801550774593,0.5243331923771586,0.5975994966220044,0.5755744442416131,0.6417279339418839
price_frequency_div_discount_frequency,-0.014074093419781148,0.12506520114776654,-0.25392089680981456,-0.0018589112293567937,0.07593244418513495,-0.05761934513581589,-0.1495344295849467,0.44049223204890714,-0.01723094754768713,-0.016034678060540358,-0.16358801550774593,1.0,0.10084289132655065,0.11828296030493268,-0.21633994741666177,-0.24865442491429157
price_frequency_x_goods-title-link_frequency,-0.09697400812950448,0.8322389944344126,0.09656149592773286,0.4173606212791471,0.3795195574616678,-0.3636937421701897,-0.0027124774230813044,-0.14533684195115779,0.010833950190132852,-0.1292796548241892,0.5243331923771586,0.10084289132655065,1.0,0.7198144630263964,0.2926500576556113,0.03334813598874417
