,goods-title-link_frequency,price_frequency,selling_proposition_frequency,discount_frequency,goods-title-link_frequency_x_price_frequency,goods-title-link_frequency_div_price_frequency,goods-title-link_frequency_x_selling_proposition_frequency,goods-title-link_frequency_div_selling_proposition_frequency,goods-title-link_frequency_x_discount_frequency,goods-title-link_frequency_div_discount_frequency,price_frequency_x_selling_proposition_frequency,price_frequency_div_selling_proposition_frequency,price_frequency_x_discount_frequency,price_frequency_div_discount_frequency,selling_proposition_frequency_x_discount_frequency,selling_proposition_frequency_div_discount_frequency
goods-title-link_frequency,1.0,0.039272010944521936,-0.07874261397417584,-0.01944620541368217,0.33705742894287166,0.11408994497612411,0.16773841391971128,0.11184254294816469,0.3146703257395431,0.08359097803303368,-0.04132469424354222,0.025535155997878155,0.01767060438480938,0.007719222130721454,-0.06663635230202333,-0.05169783049174312
price_frequency,0.039272010944521936,1.0,-0.03297303018419486,0.46877989147880245,0.9069234281461647,-0.5269587884032354,-0.029261989662329232,0.05109114241382266,0.4396467540160208,-0.3066468193916464,0.5509538511025385,0.20174509404695581,0.8783131738025145,0.16702206239135645,0.22091676572391192,-0.21274462566851432
selling_proposition_frequency,-0.07874261397417584,-0.03297303018419486,1.0,0.0018409817637940653,-0.059426118798424354,0.05162814856727489,0.9256528464763277,-0.24719874525321484,-0.028394202461062255,0.02704602954745371,0.5580907743803588,-0.18984035732721385,-0.018835660461727674,-0.0034165573891264274,0.6553361909722143,0.3446796453039132
discount_frequency,-0.01944620541368217,0.46877989147880245,0.0018409817637940653,1.0,0.4135739375817099,-0.46120243756597457,-0.006801222270180666,0.00825699911819797,0.8971222938983192,-0.5642477257599734,0.27007520545226826,0.07701849699841673,0.666153389876032,-0.36290980370692577,0.5214350324618988,-0.36898449295975116
goods-title-link_frequency_x_price_frequency,0.33705742894287166,0.9069234281461647,-0.059426118798424354,0.4135739375817099,1.0,-0.46692208443154376,0.009306604268401474,0.09048135392907915,0.5328032096391091,-0.26191118400320085,0.4546649218586298,0.20032462061598036,0.7867780515353855,0.15683381866847065,0.17163933733527076,-0.19648092174339227
goods-title-link_frequency_div_price_frequency,0.11408994497612411,-0.5269587884032354,0.05162814856727489,-0.46120243756597457,-0.46692208443154376,1.0,0.08232140910506792,-0.054717824225836036,-0.40410736151779814,0.35143106481508757,-0.2920388816576312,-0.12080518531329258,-0.4470994613624197,-0.12483490950329436,-0.21613289556940607,0.21320283814206936
goods-title-link_frequency_x_selling_proposition_frequency,0.16773841391971128,-0.029261989662329232,0.9256528464763277,-0.006801222270180666,0.009306604268401474,0.08232140910506792,1.0,-0.22841876523425514,0.04060908694154249,0.043097019140448244,0.5154861100400888,-0.17704796921817795,-0.01588158550127697,-0.00910398307794111,0.5977519339608706,0.30281798045022157
goods-title-link_frequency_div_selling_proposition_frequency,0.11184254294816469,0.05109114241382266,-0.24719874525321484,0.00825699911819797,0.09048135392907915,-0.054717824225836036,-0.22841876523425514,1.0,0.045784976586277906,-0.029615263973264274,-0.13886261933854094,0.8056026512821439,0.015422415565804348,0.02790228035969145,-0.1619985911478586,-0.0840120084472871
goods-title-link_frequency_x_discount_frequency,0.3146703257395431,0.4396467540160208,-0.028394202461062255,0.8971222938983192,0.5328032096391091,-0.40410736151779814,0.04060908694154249,0.045784976586277906,1.0,-0.5049990392222647,0.2271032001749165,0.07526644411270476,0.6163052770755009,-0.32543733671630776,0.43407602952953783,-0.3318199119848623
goods-title-link_frequency_div_discount_frequency,0.08359097803303368,-0.3066468193916464,0.02704602954745371,-0.5642477257599734,-0.26191118400320085,0.35143106481508757,0.043097019140448244,-0.029615263973264274,-0.5049990392222647,1.0,-0.17281106810470365,-0.06433892251483475,-0.37152638079230743,0.33465354021843463,-0.2936979534286078,0.6497883037145021
